"Rubric Name","Criteria Name","Criteria Description","Criteria Enable Range","Rating Name","Rating Description","Rating Points","Rating Name","Rating Description","Rating Points","Rating Name","Rating Description","Rating Points"
"Mac Navigation Deep Dive Rubric","6. Command-Option-H in Action","Shows apps open then hidden with Command-Option-H, only the active app remaining","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","7. Path Bar and Get Info Together","Shows the Path Bar enabled and Get Info open for the same file","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","8. Recent Audio Smart Folder","Shows Smart Folder criteria and live results with a correct caption explaining the difference from a normal folder","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","9. Spotlight and Quick Look","Shows Spotlight finding an app by name and a Quick Look preview of a file","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","10. Screenshot Toolbar","Shows the Shift-Command-5 toolbar with capture and recording options","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","11. Root Folders and Your Home Folder","Shows both the root level and the students own Home folder correctly","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","12. Go to Folder Navigation","Shows Go to Folder used successfully with the Path Bar confirming the destination","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","13. Filename Extensions Enabled","Shows the Advanced settings checkbox enabled and a folder with visible extensions","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","14. Package Contents","Shows Show Package Contents used and the resulting Contents folder","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","15. Compress and Extract a ZIP","Shows a folder compressed and the same archive extracted successfully","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","16. DMG APP or PKG Identification","Shows a real installer with a correct caption identifying its pattern","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","17. A Real Leftover Folder","Shows a genuine leftover folder for an app no longer installed","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","18. Login Items and Extensions","Shows both the Open at Login list and background items","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","19. Identifying a Launch Agent","Shows real launchctl or Activity Monitor output with a Launch Agent correctly labeled","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","20. Terminal Navigation","Shows a real pwd ls and cd sequence with actual output","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","21. Privacy Permissions vs File Permissions","Shows both the Privacy permission list and a real Sharing and Permissions section","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","22. Activity Monitor Across Tabs","Shows CPU and Memory tabs with a correct caption identifying a real process","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","23. System Information Hardware Tree","Shows a real connected interface or peripheral in the hardware tree","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","24. Force Quit Applications","Shows the Force Quit Applications window opened correctly","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","25. App Architecture Check","Shows a real apps Kind field with the correct architecture label","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","26. External Drive Mounted and Ejected","Shows a real external drive with its eject icon in the sidebar","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","27. Choosing a File System","Shows the Format dropdown with a correct captioned format choice","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","28. Audio Devices Window","Shows the real Audio Devices window with channels and sample rate visible","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","29. MIDI Studio","Shows the real MIDI Studio window with the students own devices","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
"Mac Navigation Deep Dive Rubric","30. AAX Plug-In Folder via Go to Folder","Shows Go to Folder used to reach the real AAX plug-ins folder with contents visible","5","Full Credit","Meets the description in full with a clear correct caption","5","No Credit","Not submitted or screenshot does not show the required item","0","","",""
