id,path,w,h,kb,top8,dups
0,All/Bonus__Assignments/5-Pin_DIN_Female_to_Female_MIDI_Barrel.png,1024,1024,620,0.8,0
1,All/Bonus__Assignments/MIDI_to_XLR_Pinout.png,1600,853,123,0.95,0
2,All/Bonus__Assignments/MIDI_to_XLR_Pinout_Cable_Test.jpg,2048,922,205,0.315,0
3,All/Bonus__Assignments/SRI_Survey_Window.png,1600,900,64,0.982,0
4,All/Bonus__Assignments/Talkback_Box_-_Empty.png,2010,1169,1404,0.824,0
5,All/Bonus__Assignments/Talkback_Box_-_Wiring.png,2010,1169,1893,0.783,0
6,All/CS_623a_BOAA_Lab/Annotated_Audio_Interface_Front_Panel.png,1600,928,486,0.842,0
7,All/CS_623a_BOAA_Lab/Avid_Diagnostic_Data_Consent_Prompt.png,1600,900,918,0.188,0
8,All/CS_623a_BOAA_Lab/BOAA_Input_Signal_Path.png,1600,900,81,0.964,0
9,All/CS_623a_BOAA_Lab/Boaa_Lab_Welcome_Banner.png,1600,686,619,0.445,0
10,All/CS_623a_BOAA_Lab/Dashboard_Interleaved_Option_Tooltip.png,1600,900,700,0.346,0
11,All/CS_623a_BOAA_Lab/Dashboard_New_Session_Configuration_Panel.png,1600,900,700,0.349,0
12,All/CS_623a_BOAA_Lab/Dashboard_New_Session_Location_Menu.png,1600,900,702,0.344,0
13,All/CS_623a_BOAA_Lab/Dolby_Atmos_Template_List_Expanded.png,1600,900,639,0.365,0
14,All/CS_623a_BOAA_Lab/Empty_Desktop_Finder_Window.png,1600,900,763,0.255,0
15,All/CS_623a_BOAA_Lab/Empty_Edit_Window_Single_Track.png,1600,900,323,0.829,0
16,All/CS_623a_BOAA_Lab/Finder_Menu_Settings_Highlighted.png,1600,900,744,0.256,0
17,All/CS_623a_BOAA_Lab/Finder_Settings_General_Pane.png,1600,900,711,0.314,0
18,All/CS_623a_BOAA_Lab/Finder_Settings_General_Pane_Open.png,1600,900,705,0.315,0
19,All/CS_623a_BOAA_Lab/Finder_Settings_Sidebar_Preferences.png,1600,900,640,0.322,0
20,All/CS_623a_BOAA_Lab/Finder_Step_1.jpg,963,867,105,0.5,0
21,All/CS_623a_BOAA_Lab/Finder_Step_10.jpg,1131,955,227,0.348,0
22,All/CS_623a_BOAA_Lab/Finder_Step_11.jpg,1131,955,186,0.353,0
23,All/CS_623a_BOAA_Lab/Finder_Step_12.jpg,1131,955,174,0.386,0
24,All/CS_623a_BOAA_Lab/Finder_Step_2.jpg,1351,1007,227,0.314,0
25,All/CS_623a_BOAA_Lab/Finder_Step_3.jpg,1363,867,175,0.448,0
26,All/CS_623a_BOAA_Lab/Finder_Step_4.jpg,1500,950,232,0.372,0
27,All/CS_623a_BOAA_Lab/Finder_Step_5.jpg,1500,950,221,0.4,0
28,All/CS_623a_BOAA_Lab/Finder_Step_8.jpg,1131,955,177,0.375,0
29,All/CS_623a_BOAA_Lab/Finder_Step_9.jpg,1131,955,177,0.373,0
30,All/CS_623a_BOAA_Lab/Finder_Window_Showing_New_Folder.png,1600,900,765,0.249,0
31,All/CS_623a_BOAA_Lab/Finder_Window_With_Session_Template_File.png,1600,900,768,0.254,0
32,All/CS_623a_BOAA_Lab/Interface_and_Headphone_Amp_Routing_Diagram.png,1600,1248,641,0.835,0
33,All/CS_623a_BOAA_Lab/Local_Network_Permission_Dialog.png,1600,900,859,0.175,0
34,All/CS_623a_BOAA_Lab/Mac_Desktop_With_Dock_and_Notification.png,1600,900,970,0.164,0
35,All/CS_623a_BOAA_Lab/Macintosh_HD_Opened_in_Finder.png,1600,900,1951,0.231,0
36,All/CS_623a_BOAA_Lab/Macintosh_HD_Root_Folders_in_Finder.png,1600,900,762,0.253,0
37,All/CS_623a_BOAA_Lab/Microphone_Access_Alert_at_Startup.png,1600,900,850,0.195,0
38,All/CS_623a_BOAA_Lab/Microphone_Access_Permission_Dialog.png,1600,900,853,0.18,0
39,All/CS_623a_BOAA_Lab/New_Session_Dashboard_Settings.png,1600,900,700,0.347,0
40,All/CS_623a_BOAA_Lab/Path_Selector_Search_Bus.png,794,582,95,0.878,0
41,All/CS_623a_BOAA_Lab/Peripherals_MIDI_Controllers_Predefined_Menu.png,1600,900,386,0.825,0
42,All/CS_623a_BOAA_Lab/Playback_Engine_Device_List.png,1600,900,852,0.196,0
43,All/CS_623a_BOAA_Lab/Playback_Engine_Set_to_Aggregate_I-O.png,1600,900,843,0.205,0
44,All/CS_623a_BOAA_Lab/Playback_Engine_Set_to_Volt_Interface.png,1600,900,846,0.2,0
45,All/CS_623a_BOAA_Lab/Pro_Tools_Splash_With_Microphone_Alert.png,1600,900,851,0.196,0
46,All/CS_623a_BOAA_Lab/Prompt_to_Select_Playback_Engine_Device.png,1600,900,854,0.198,0
47,All/CS_623a_BOAA_Lab/Room_Layout.png,1600,900,432,0.97,0
48,All/CS_623a_BOAA_Lab/Save_New_Session_As_Dialog.png,1600,900,780,0.253,0
49,All/CS_623a_BOAA_Lab/Send_Assign_Menu_Bus_or_Track.png,835,838,170,0.811,0
50,All/CS_623a_BOAA_Lab/Session_Dashboard_With_Welcome_Popup.png,1600,900,675,0.36,0
51,All/CS_623a_BOAA_Lab/Setup_Menu_Open_in_Edit_Window.png,1600,900,378,0.782,0
52,All/CS_623a_BOAA_Lab/Shared_Folder_With_Lab_Files.png,1600,900,768,0.244,0
53,All/CS_623a_BOAA_Lab/Shared_Template_File_in_Finder.png,1600,900,768,0.255,0
54,All/CS_623a_BOAA_Lab/Step_01_Pro_Tools_Launch.jpg,1303,975,282,0.135,0
55,All/CS_623a_BOAA_Lab/Step_01_Setup.jpg,1500,878,111,0.812,0
56,All/CS_623a_BOAA_Lab/Step_02_Pro_Tools_Hardware_Select.jpg,1243,863,202,0.26,0
57,All/CS_623a_BOAA_Lab/Step_03_Pro_Tools_First_Warning.jpg,939,503,77,0.532,0
58,All/CS_623a_BOAA_Lab/Step_04_Pro_Tools_Mic_Select_OK.jpg,939,503,75,0.446,0
59,All/CS_623a_BOAA_Lab/Step_05_Pro_Tools_Allow.jpg,939,503,77,0.445,0
60,All/CS_623a_BOAA_Lab/Step_06_Pro_Tools_Playback_Engine.jpg,939,503,75,0.532,0
61,All/CS_623a_BOAA_Lab/Step_07_Pro_Tools_Playback_Dialog_Box.jpg,939,503,67,0.576,0
62,All/CS_623a_BOAA_Lab/Step_08_Pro_Tools_Dropdown_Volt_4.jpg,939,503,77,0.512,0
63,All/CS_623a_BOAA_Lab/Step_09_All_Set.jpg,1500,878,103,0.876,0
64,All/CS_623a_BOAA_Lab/Step_09_Pro_Tools_Volt_OK.jpg,939,503,67,0.577,0
65,All/CS_623a_BOAA_Lab/Step_10_Pro_Tools_Usage_Click_No.jpg,1303,495,139,0.286,0
66,All/CS_623a_BOAA_Lab/Step_11_Pro_Tools_Dashboard.jpg,1099,879,123,0.64,0
67,All/CS_623a_BOAA_Lab/Step_12_Pro_Tools_Rename_Session.jpg,1303,879,171,0.526,0
68,All/CS_623a_BOAA_Lab/Step_13_Pro_Tools_Storage_Select.jpg,1303,879,173,0.522,0
69,All/CS_623a_BOAA_Lab/Step_14_Pro_Tools_Engine_Selections.jpg,1303,879,169,0.528,0
70,All/CS_623a_BOAA_Lab/Step_15_Pro_Tools_Template_Selection.jpg,1303,907,187,0.511,0
71,All/CS_623a_BOAA_Lab/Step_16_Pro_Tools_Open_Session.jpg,1419,907,196,0.503,0
72,All/CS_623a_BOAA_Lab/Step_17_Pro_Tools_Navigate_to_Shared_Documents.jpg,1227,867,152,0.396,0
73,All/CS_623a_BOAA_Lab/Step_18_Pro_Tools_Navigate_to_Saved_Template.jpg,1059,523,53,0.685,0
74,All/CS_623a_BOAA_Lab/Step_19_Pro_Tools_Save_Session_as.jpg,1051,523,62,0.675,0
75,All/CS_623a_BOAA_Lab/Step_20_New_Session.jpg,1500,878,109,0.865,0
76,All/CS_623a_BOAA_Lab/Users_Folder_With_Shared_Selected.png,1600,900,1633,0.24,0
77,All/DAPR_Introduce_Yourself/Canvas_Reply_Toolbar.png,901,583,122,0.969,0
78,All/DAPR_Introduce_Yourself/Canvas_Upload_Dialog.png,1280,867,285,0.903,0
79,All/DAPR_Introduce_Yourself/Example_Headshot.jpg,800,800,84,0.276,0
80,All/DAPR_Introduce_Yourself/Preview_Adjust_Size.png,414,415,61,0.917,0
81,All/DAPR_Introduce_Yourself/Preview_Export_JPEG.png,318,120,15,0.923,0
82,All/DAPR_Monitor/AKG_K240_Studio.jpg,801,1200,127,0.144,0
83,All/DAPR_Monitor/Adam_Audio_T5V.png,1500,1000,870,0.912,0
84,All/DAPR_Monitor/Audio_Technica_ATH_M50x.png,600,600,67,0.853,0
85,All/DAPR_Monitor/Audio_Technica_ATH_R30x.png,1600,1600,1130,0.906,0
86,All/DAPR_Monitor/Avantone_MixCube.jpg,620,630,74,0.335,0
87,All/DAPR_Monitor/Beyerdynamic_DT_770_Pro.png,1200,1200,504,0.875,0
88,All/DAPR_Monitor/Beyerdynamic_DT_880_Pro.png,1200,1200,206,0.838,0
89,All/DAPR_Monitor/Focal_Alpha_65_Evo.jpg,586,586,33,0.667,0
90,All/DAPR_Monitor/Genelec_8010A.jpg,800,800,48,0.91,0
91,All/DAPR_Monitor/JBL_305P_MkII.png,1600,1600,993,0.748,0
92,All/DAPR_Monitor/KRK_Rokit_5_G4.jpg,2000,2000,342,0.621,0
93,All/DAPR_Monitor/Neumann_KH_120_II.jpg,395,630,61,0.383,0
94,All/DAPR_Monitor/Philips_SHP9500.png,967,1600,1722,0.655,0
95,All/DAPR_Monitor/PreSonus_Eris_E3.5.jpg,1600,1140,341,0.452,0
96,All/DAPR_Monitor/Sennheiser_HD_280_Pro.png,1200,1411,426,0.941,0
97,All/DAPR_Monitor/Sennheiser_HD_490_Pro.jpg,770,1600,193,0.826,0
98,All/DAPR_Monitor/Sennheiser_HD_560S.jpg,1024,1024,62,0.911,0
99,All/DAPR_Monitor/Shure_SRH840A.jpg,367,630,35,0.729,0
100,All/DAPR_Monitor/Sony_MDR_7506.jpg,3000,2000,333,0.761,0
101,All/DAPR_Monitor/Yamaha_HS5.jpg,424,630,29,0.759,0
102,All/DAPR_Monitor/Yamaha_HS8.jpg,438,630,31,0.706,0
103,All/DAW_Session_Structure/Color_Palette.jpg,1098,238,48,0.55,0
104,All/DAW_Session_Structure/Color_Palette_Numbered.png,2172,724,1033,0.63,0
105,All/DAW_Session_Structure/Folder_Hierarchy_and_Naming.png,1024,1024,339,0.872,0
106,All/DAW_Session_Structure/_unused/Gemini_Generated_Image_m5gb3gm5gb3gm5gb.png,2224,480,1433,0.481,0
107,All/Pro_Tools_Cleanup/After.jpg,900,421,81,0.257,0
108,All/Pro_Tools_Cleanup/Before.jpg,900,403,83,0.172,0
109,All/Pro_Tools_Cleanup/Bounce_Mix.jpg,420,537,28,0.862,0
110,All/Pro_Tools_Cleanup/Cleaned_Folder.jpg,304,188,8,0.818,0
111,All/Pro_Tools_Cleanup/Compact_Dialog.jpg,460,374,35,0.853,0
112,All/Pro_Tools_Cleanup/Compact_Menu.jpg,255,462,20,0.736,0
