path,w,h,kb,mode,top1,top8,ncolors,sat
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/FMOD_Bus_Structure.png,1600,640,56,RGBA,0.895,0.988,85,0.029
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/Distance_Minimum_and_Maximum.jpg,1536,1024,228,RGB,0.202,0.597,651,0.068
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/Parameter_Mapping.png,1600,540,52,RGBA,0.967,0.992,87,0.008
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/FMOD_Timeline_vs_Parameter_Sheet.png,1600,560,64,RGBA,0.658,0.961,136,0.077
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/FMOD_Bank_Build_Flow.png,1600,560,72,RGBA,0.846,0.974,93,0.026
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/Kart_Engine_Parameter.png,1600,600,10,RGB,0.971,1.0,4,0.017
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/Implementation_Desk_Banner.jpg,1942,809,262,RGB,0.257,0.417,1079,0.574
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/Two_Paths_Choice.png,1600,600,10,RGB,0.971,1.0,4,0.017
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/Recording_the_Proof.png,1600,600,10,RGB,0.971,1.0,4,0.017
DAPR-3345--Spatial_Audio_II/FMOD__Implementation_in_FMOD_Studio/Workstation_Setup_Unboxing.png,1600,600,10,RGB,0.971,1.0,4,0.017
DAPR-3345--Spatial_Audio_II/Course_Orientation/Prerequisite_Path.png,1600,500,61,RGBA,0.743,0.983,120,0.036
DAPR-3345--Spatial_Audio_II/Course_Orientation/Credit_Hour_Rule.png,1600,900,425,RGBA,0.831,0.961,210,0.089
DAPR-3345--Spatial_Audio_II/Course_Orientation/Term_Schedule.png,1600,720,85,RGBA,0.756,0.939,207,0.022
DAPR-3345--Spatial_Audio_II/Course_Orientation/Sennheiser_HD_280_Pro.png,1200,1411,431,RGBA,0.793,0.941,33,0.0
DAPR-3345--Spatial_Audio_II/Interactive_Mix__The_Immersive_Interactive_Mix/Controller_Position_Banner.jpg,1942,809,276,RGB,0.201,0.475,578,0.416
DAPR-3345--Spatial_Audio_II/Interactive_Mix__The_Immersive_Interactive_Mix/Loudness_Targets.png,1600,500,37,RGBA,0.943,0.993,72,0.006
DAPR-3345--Spatial_Audio_II/Interactive_Mix__The_Immersive_Interactive_Mix/Enter_Fast_Leave_Slow.png,1600,540,54,RGBA,0.704,0.991,32,0.0
DAPR-3345--Spatial_Audio_II/Interactive_Mix__The_Immersive_Interactive_Mix/Controller_Position_Banner_Alt.jpg,1942,809,295,RGB,0.28,0.474,944,0.413
DAPR-3345--Spatial_Audio_II/Interactive_Mix__The_Immersive_Interactive_Mix/Bus_Decisions.png,1600,680,60,RGBA,0.896,0.991,28,0.0
DAPR-3345--Spatial_Audio_II/Interactive_Mix__The_Immersive_Interactive_Mix/Ducking_Envelope.png,1600,600,38,RGBA,0.928,0.995,36,0.032
DAPR-3345--Spatial_Audio_II/Asset_Pipeline__Asset_Tracking_Task_Tracking_and_Source_Control/Git_LFS_Pointer.png,1600,560,73,RGBA,0.783,0.983,137,0.037
DAPR-3345--Spatial_Audio_II/Asset_Pipeline__Asset_Tracking_Task_Tracking_and_Source_Control/Asset_States_and_Task_Board.png,1600,620,55,RGBA,0.704,0.985,100,0.026
DAPR-3345--Spatial_Audio_II/Asset_Pipeline__Asset_Tracking_Task_Tracking_and_Source_Control/Pull_Work_Commit_Push.png,1600,640,36,RGBA,0.923,0.997,62,0.016
DAPR-3345--Spatial_Audio_II/Asset_Pipeline__Asset_Tracking_Task_Tracking_and_Source_Control/Team_Room_Banner.jpg,1942,809,470,RGB,0.049,0.165,1400,0.179
DAPR-3345--Spatial_Audio_II/Asset_Pipeline__Asset_Tracking_Task_Tracking_and_Source_Control/Team_Room_Banner_Alt.jpg,1942,809,469,RGB,0.028,0.139,1609,0.156
DAPR-3345--Spatial_Audio_II/Asset_Pipeline__Asset_Tracking_Task_Tracking_and_Source_Control/Branch_and_Merge.png,1600,500,34,RGBA,0.971,0.993,59,0.007
DAPR-3345--Spatial_Audio_II/Variation__Nonrepetitive_Design_Strategies/Layered_Recombination.jpg,1536,1024,227,RGB,0.166,0.432,1033,0.103
DAPR-3345--Spatial_Audio_II/Variation__Nonrepetitive_Design_Strategies/Start_Point_Randomization.png,1600,520,108,RGBA,0.844,0.973,157,0.023
DAPR-3345--Spatial_Audio_II/Variation__Nonrepetitive_Design_Strategies/Layered_Recombination_Alt.jpg,1536,1024,346,RGB,0.065,0.301,2531,0.131
DAPR-3345--Spatial_Audio_II/Variation__Nonrepetitive_Design_Strategies/Variation_by_Frequency.png,1600,600,53,RGBA,0.755,0.989,86,0.066
DAPR-3345--Spatial_Audio_II/Variation__Nonrepetitive_Design_Strategies/Randomization_Dimensions_Banner.jpg,1942,809,214,RGB,0.163,0.596,948,0.055
DAPR-3345--Spatial_Audio_II/Voice_Budget__Sound_Prioritization_and_Voice_Budgets/Model_City_Priority_Spotlights.png,1600,600,10,RGB,0.971,1.0,4,0.016
DAPR-3345--Spatial_Audio_II/Voice_Budget__Sound_Prioritization_and_Voice_Budgets/Crowded_Scene_Banner_Alt.jpg,1942,809,364,RGB,0.081,0.306,556,0.076
DAPR-3345--Spatial_Audio_II/Voice_Budget__Sound_Prioritization_and_Voice_Budgets/Memory_Processor_Tradeoff.png,1600,660,65,RGBA,0.897,0.986,158,0.023
DAPR-3345--Spatial_Audio_II/Voice_Budget__Sound_Prioritization_and_Voice_Budgets/Virtual_Voices.jpg,1536,1024,239,RGB,0.068,0.337,640,0.072
DAPR-3345--Spatial_Audio_II/Voice_Budget__Sound_Prioritization_and_Voice_Budgets/Crowded_Scene_Banner.jpg,1942,809,436,RGB,0.135,0.293,843,0.136
DAPR-3345--Spatial_Audio_II/Voice_Budget__Sound_Prioritization_and_Voice_Budgets/Voice_Budget_Allocation.png,1600,480,35,RGBA,0.751,0.988,122,0.152
DAPR-3345--Spatial_Audio_II/Voice_Budget__Sound_Prioritization_and_Voice_Budgets/Virtual_Voices_Alt.jpg,1536,1024,318,RGB,0.255,0.451,585,0.046
